YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2018,Andrew Bogut,Golden State Warriors,307648.0,34,11,8,3,12.2,3.5,1.6,3.3,50.0,0.0,0.0,0.0,0.3,0.3,100.0,1.1,3.9,5.0,1.0,0.7,0.3,0.7,2.0,13.3,0,0,0.9,474.0
2018,Andre Iguodala,Golden State Warriors,16000000.0,35,68,47,21,23.2,5.7,2.2,4.4,50.0,0.7,2.1,33.3,0.6,1.0,58.2,0.7,3.0,3.7,3.2,0.8,0.9,0.8,1.4,19.1,0,0,4.6,64.0
2018,Alfonzo McKinnie,Golden State Warriors,1349383.0,26,72,53,19,13.9,4.7,1.9,3.8,48.7,0.6,1.6,35.6,0.4,0.7,56.3,1.1,2.3,3.4,0.4,0.4,0.3,0.2,1.9,10.4,1,0,0.2,425.0
2019,Alec Burks,Golden State Warriors,1620564.0,28,38,8,30,29.1,15.8,5.1,12.4,41.1,1.6,4.3,36.4,4.1,4.6,89.6,0.8,3.8,4.6,3.1,1.6,1.1,0.3,2.3,28.8,1,0,-5.0,397.0
2019,Alen Smailagic,Golden State Warriors,898310.0,19,8,1,7,10.0,4.6,1.8,3.3,53.8,0.3,1.0,25.0,0.9,1.1,77.8,0.8,1.9,2.6,0.6,0.5,0.1,0.4,1.0,9.7,0,0,0.5,507.0
2019,D'Angelo Russell,Golden State Warriors,27285000.0,23,23,6,17,31.5,23.7,8.3,19.0,43.7,3.4,9.3,37.1,3.7,4.7,77.1,0.3,3.2,3.5,6.0,3.0,0.8,0.3,2.1,37.4,0,0,-6.0,32.0
2019,Draymond Green,Golden State Warriors,18539130.0,29,30,8,22,29.0,8.6,3.1,7.9,38.7,0.8,3.1,27.2,1.7,2.2,74.6,0.6,5.8,6.4,5.6,2.4,1.5,0.8,2.6,29.2,6,2,-5.5,61.0
2019,Eric Paschall,Golden State Warriors,898310.0,23,36,8,28,27.0,13.6,5.2,10.6,48.7,0.6,2.1,27.6,2.6,3.4,77.9,1.4,3.1,4.5,1.8,1.5,0.5,0.3,1.9,22.5,2,0,-5.8,506.0
2019,Glenn Robinson III,Golden State Warriors,1620564.0,26,40,8,32,31.8,12.2,4.8,10.6,45.7,1.3,3.3,38.6,1.2,1.5,84.5,1.4,3.3,4.8,1.6,1.0,1.0,0.2,1.9,22.8,1,0,-6.5,395.0
2019,Jacob Evans,Golden State Warriors,1925880.0,22,20,5,15,15.2,4.7,1.6,5.2,31.1,0.5,1.4,37.0,1.0,1.2,82.6,0.4,1.3,1.6,1.1,1.2,0.3,0.4,1.5,8.9,0,0,-3.5,343.0
2019,Jordan Poole,Golden State Warriors,1964760.0,20,34,7,27,21.3,6.9,2.1,8.2,26.3,1.1,4.5,24.8,1.5,1.9,82.5,0.1,1.8,1.9,1.8,1.0,0.6,0.2,1.6,13.4,0,0,-3.6,338.0
2019,Kevon Looney,Golden State Warriors,4464226.0,23,10,3,7,10.5,2.6,1.1,3.2,34.4,0.1,0.2,50.0,0.3,0.5,60.0,1.5,1.4,2.9,0.4,0.6,0.3,0.2,1.7,7.6,0,0,-6.0,229.0
2019,Marquese Chriss,Golden State Warriors,1620564.0,22,37,9,28,17.7,7.4,2.6,5.4,48.5,0.1,0.6,22.7,2.0,2.6,76.0,1.9,3.6,5.4,1.9,1.4,0.6,0.9,1.9,19.8,3,0,-3.4,396.0
2019,Omari Spellman,Golden State Warriors,1897800.0,22,38,8,30,17.5,7.8,2.7,6.0,45.4,0.9,2.1,43.0,1.5,1.9,78.9,1.8,3.1,4.9,1.0,1.2,0.7,0.6,1.2,17.8,1,0,-1.8,345.0
2019,Stephen Curry,Golden State Warriors,40231758.0,31,4,1,3,28.0,20.3,6.8,16.5,40.9,2.3,9.3,24.3,4.5,4.5,100.0,1.0,4.0,5.0,6.5,3.8,1.3,0.5,2.5,37.5,1,0,-8.0,1.0
2019,Willie Cauley-Stein,Golden State Warriors,2177483.0,26,36,8,28,22.7,7.8,3.5,6.3,55.5,0.0,0.0,0.0,0.8,1.4,59.2,1.6,4.7,6.3,1.4,0.9,1.1,1.3,2.6,23.6,2,0,-3.4,323.0
